predictor,obs_coef,placebo_mean,placebo_std,empirical_tail_frac,N_placebo
trade_exposure,0.07183744777594984,0.00040826236798983197,0.06956498506808503,0.174,500
gov_index_zmean,-0.7590143135240937,0.0014677528982809953,0.08728200214053256,1.0,500
inflation_consumer_prices_pct,-0.021232046239587778,-0.004037255102944471,0.07450137958142597,0.6,500
