feature,n_nonmissing,n_total,pct_missing,mean,sd,unique_vals,n_zeros,skew,kurtosis
current_account_balance_usd_ln_safe,1053,3390,68.93805309734513,22.25085247449284,2.301326197297959,1053,0,-0.6233779996833859,0.5230071010115624
exports_usd_ln_safe,3181,3390,6.165191740412979,23.55005090775853,2.3764201622432686,3067,0,-0.22158379179594656,-0.351542726282176
imports_usd_ln_safe,3181,3390,6.165191740412979,23.73188105946749,2.123857175653458,3067,0,-0.02556283089076948,-0.5108987549386987
year,3390,3390,0.0,2013.5713864306786,6.089892600294336,23,0,-0.2916795402146324,-0.8599866190187577
gdp_growth_pct,3390,3390,0.0,3.239983391218491,5.651707673694559,3390,1,0.7812345030085832,37.8630135591991
gov_index_zmean,3390,3390,0.0,0.10264305081827155,0.8921154542729298,3390,0,0.1930170389612114,-0.8530645829275545
gdp_per_capita_usd_ln_safe,3390,3390,0.0,8.732749239088138,1.451675947985242,3390,0,-0.10804920484981365,-0.7787046819067545
gdp_usd_ln_safe,3390,3390,0.0,24.436340000682012,2.3476820818993223,3390,0,0.008928479292105279,-0.3934410804468551
fdi_inflow_usd_ln_safe,3390,3390,0.0,20.93775013512031,2.472363180139525,3179,0,-0.25048883942797157,0.15529903587091143
total_reserves_usd_ln_safe,3390,3390,0.0,22.556691491936483,2.2416506744706823,3145,0,0.11536233296473612,-0.41143927434754257
inflation_consumer_prices_pct,3390,3390,0.0,6.036779110812191,15.900903600817083,3390,0,19.154611908199396,536.6872875761179
trade_exposure,3390,3390,0.0,81.84691490239054,60.05248235142395,3050,341,2.0174105704480505,7.465471193686162
voice_accountability_imputed,3390,3390,0.0,0.09306082286535426,0.9551351474937637,3385,0,-0.2231425994687098,-1.0527932454164362
political_stability_imputed,3390,3390,0.0,0.000816707191876192,0.9549492912321593,3349,0,-0.6110076192835645,-0.21684899377749645
gov_effectiveness_imputed,3390,3390,0.0,0.09494420578252787,0.973252924890835,3347,0,0.28610577910262375,-0.7738579465031834
reg_quality_imputed,3390,3390,0.0,0.11969520013061824,0.936480069744229,3365,0,0.19344121198443165,-0.8263753925199908
rule_of_law_imputed,3390,3390,0.0,0.07321508082906958,0.9702098248446634,3378,0,0.2773374813666513,-0.8812158037399977
control_corruption_imputed,3390,3390,0.0,0.06811732253852898,1.0046756432891406,3358,0,0.5474345196454016,-0.6357238853481251
