,year,gdp_growth_pct,gov_index_zmean,gdp_usd_ln_safe,gdp_per_capita_usd_ln_safe,exports_usd_ln_safe,imports_usd_ln_safe,fdi_inflow_usd_ln_safe,current_account_balance_usd_ln_safe,total_reserves_usd_ln_safe,inflation_consumer_prices_pct,trade_exposure,voice_accountability_imputed,political_stability_imputed,gov_effectiveness_imputed,reg_quality_imputed,rule_of_law_imputed,control_corruption_imputed
year,1.0,-0.09812298239603316,-0.12447158259990596,0.028980146870639985,0.05521838813171592,0.014922150821347468,0.02416328648306483,-0.0075478254517118955,-0.03261077082580718,0.08336350034374351,0.05809963806173137,0.036898446019144965,-0.11480420031631704,-0.07336792160913422,-0.1234158636764513,-0.12945479319191575,-0.11057856914423182,-0.1152190601103421
gdp_growth_pct,-0.09812298239603316,1.0,-0.08185179604423687,-0.00844011818021337,-0.11108534001784004,-0.013774664666253614,-0.022547875556848004,0.042772164064016314,0.0006112970290060069,-0.00616612588816278,-0.06369768404069637,0.04016502639061346,-0.09867508409492283,-0.047268631101102854,-0.06587874914689469,-0.06232718912657902,-0.09009967311707749,-0.08586559801374051
gov_index_zmean,-0.12447158259990596,-0.08185179604423687,1.0,0.27022646929432614,0.8135358331829284,0.44084535446055095,0.4227672858318226,0.39887235924642456,0.3040146411081974,0.24293300152603445,-0.21863095141292319,0.3184223499927029,0.8649678319452725,0.8377510108475167,0.9507630795129287,0.9315451994142517,0.9751198736928892,0.9554173391580745
gdp_usd_ln_safe,0.028980146870639985,-0.00844011818021337,0.27022646929432614,1.0,0.4712343044993891,0.9587091897292718,0.9710737314294807,0.8619010172042904,0.8288970570128877,0.8779153026841335,-0.015326575330519128,0.04598080158196406,0.13075284701986392,-0.03241926983485458,0.41977776587688836,0.42131112310258517,0.3014905143388086,0.27607796631048687
gdp_per_capita_usd_ln_safe,0.05521838813171592,-0.11108534001784004,0.8135358331829284,0.4712343044993891,1.0,0.6324118351192577,0.5890367171257598,0.5531553192717577,0.493581385738389,0.4363005950642531,-0.16894453225279527,0.3382872476575685,0.6197000925221078,0.6459264376648921,0.8419551293293303,0.8139005668484028,0.8021177998130113,0.7752708220455647
exports_usd_ln_safe,0.014922150821347468,-0.013774664666253614,0.44084535446055095,0.9587091897292718,0.6324118351192577,1.0,0.9851182821242995,0.8913573013226744,0.8301291366227783,0.8389741696655184,-0.06602553405933609,0.15662732725109904,0.25935676971459865,0.1672283906514503,0.5761115246044203,0.5707022005398261,0.4518619986097337,0.4334953458509098
imports_usd_ln_safe,0.02416328648306483,-0.022547875556848004,0.4227672858318226,0.9710737314294807,0.5890367171257598,0.9851182821242995,1.0,0.8854313057344539,0.8104434217105511,0.8542974428933771,-0.06418618944083256,0.1310229119547107,0.2618258740624918,0.12686706495348926,0.5572871036443232,0.5550043555730292,0.4386568930482038,0.41950485336517823
fdi_inflow_usd_ln_safe,-0.0075478254517118955,0.042772164064016314,0.39887235924642456,0.8619010172042904,0.5531553192717577,0.8913573013226744,0.8854313057344539,1.0,0.7229496912521596,0.7452903741552794,-0.04997021141250401,0.21939216887325888,0.23991347277200833,0.14132938416210664,0.5223798073504803,0.5384455897039732,0.40597416213135123,0.3802068654209886
current_account_balance_usd_ln_safe,-0.03261077082580718,0.0006112970290060069,0.3040146411081974,0.8288970570128877,0.493581385738389,0.8301291366227783,0.8104434217105511,0.7229496912521596,1.0,0.754268405328129,-0.08154678711540932,0.03164133597292812,0.08152338835607757,0.10101423568374178,0.429100549260912,0.39292716326093985,0.3326810111654108,0.34019194817546766
total_reserves_usd_ln_safe,0.08336350034374351,-0.00616612588816278,0.24293300152603445,0.8779153026841335,0.4363005950642531,0.8389741696655184,0.8542974428933771,0.7452903741552794,0.754268405328129,1.0,-0.06640158683177595,0.09027490721400379,0.10448584082451752,-0.0007357877146047725,0.37505319107565455,0.3683598176568171,0.27293099762363654,0.2327878706607917
inflation_consumer_prices_pct,0.05809963806173137,-0.06369768404069637,-0.21863095141292319,-0.015326575330519128,-0.16894453225279527,-0.06602553405933609,-0.06418618944083256,-0.04997021141250401,-0.08154678711540932,-0.06640158683177595,1.0,-0.08523369750173178,-0.17286051953482817,-0.1982165763584576,-0.21379190645761798,-0.22083340295188758,-0.20242983463840147,-0.197334237196848
trade_exposure,0.036898446019144965,0.04016502639061346,0.3184223499927029,0.04598080158196406,0.3382872476575685,0.15662732725109904,0.1310229119547107,0.21939216887325888,0.03164133597292812,0.09027490721400379,-0.08523369750173178,1.0,0.13845122886268785,0.32470530671526493,0.3432362672372636,0.346401325910527,0.31515969542806,0.2920838697808278
voice_accountability_imputed,-0.11480420031631704,-0.09867508409492283,0.8649678319452725,0.13075284701986392,0.6197000925221078,0.25935676971459865,0.2618258740624918,0.23991347277200833,0.08152338835607757,0.10448584082451752,-0.17286051953482817,0.13845122886268785,1.0,0.7024174509202128,0.7375960334044428,0.751699120652987,0.8051915379247012,0.7776905471688959
political_stability_imputed,-0.07336792160913422,-0.047268631101102854,0.8377510108475167,-0.03241926983485458,0.6459264376648921,0.1672283906514503,0.12686706495348926,0.14132938416210664,0.10101423568374178,-0.0007357877146047725,-0.1982165763584576,0.32470530671526493,0.7024174509202128,1.0,0.7187532964585741,0.6799672015237003,0.7773673632669292,0.745437220803206
gov_effectiveness_imputed,-0.1234158636764513,-0.06587874914689469,0.9507630795129287,0.41977776587688836,0.8419551293293303,0.5761115246044203,0.5572871036443232,0.5223798073504803,0.429100549260912,0.37505319107565455,-0.21379190645761798,0.3432362672372636,0.7375960334044428,0.7187532964585741,1.0,0.9355129175739993,0.9410694450164369,0.9246614068123082
reg_quality_imputed,-0.12945479319191575,-0.06232718912657902,0.9315451994142517,0.42131112310258517,0.8139005668484028,0.5707022005398261,0.5550043555730292,0.5384455897039732,0.39292716326093985,0.3683598176568171,-0.22083340295188758,0.346401325910527,0.751699120652987,0.6799672015237003,0.9355129175739993,1.0,0.9102503829810163,0.8797852671732828
rule_of_law_imputed,-0.11057856914423182,-0.09009967311707749,0.9751198736928892,0.3014905143388086,0.8021177998130113,0.4518619986097337,0.4386568930482038,0.40597416213135123,0.3326810111654108,0.27293099762363654,-0.20242983463840147,0.31515969542806,0.8051915379247012,0.7773673632669292,0.9410694450164369,0.9102503829810163,1.0,0.9458516676327241
control_corruption_imputed,-0.1152190601103421,-0.08586559801374051,0.9554173391580745,0.27607796631048687,0.7752708220455647,0.4334953458509098,0.41950485336517823,0.3802068654209886,0.34019194817546766,0.2327878706607917,-0.197334237196848,0.2920838697808278,0.7776905471688959,0.745437220803206,0.9246614068123082,0.8797852671732828,0.9458516676327241,1.0
