,exports_usd_ln_safe,imports_usd_ln_safe,fdi_inflow_usd_ln_safe,trade_exposure
exports_usd_ln_safe,1.0,0.9891560799507814,0.9295518035962511,0.03354803567534712
imports_usd_ln_safe,0.9891560799507814,1.0,0.9293688239543443,0.012798084773841095
fdi_inflow_usd_ln_safe,0.9295518035962511,0.9293688239543443,1.0,0.12149761553951063
trade_exposure,0.03354803567534712,0.012798084773841095,0.12149761553951063,1.0
