spec,trade_exposure_coef,trade_exposure_se,trade_exposure_pval,gov_index_zmean_coef,gov_index_zmean_se,gov_index_zmean_pval,inflation_consumer_prices_pct_coef,inflation_consumer_prices_pct_se,inflation_consumer_prices_pct_pval,trade_exposure_se_hc3,gov_index_zmean_se_hc3,inflation_consumer_prices_pct_se_hc3
FE_full,0.006798018380361869,0.0016906520119597346,5.922920955581333e-05,-0.7813015212558186,0.1162028118665897,2.072428515959922e-11,-0.030035606227473175,0.0062027478911459745,1.340873058522514e-06,0.0015542554095637183,0.12662972675852793,0.007279763636718039
winsor_1pct,0.007074924605778372,0.001383814071137111,3.353302071458596e-07,-0.810973349529962,0.0935336024479262,6.5676626839570336e-18,-0.03997004114884917,0.011115135430830547,0.00032775975184591756,0.0013692451667573484,0.09481107805151454,0.015329654961339081
winsor_2pct,0.00839918899301207,0.0015005746604673505,2.3502196635051948e-08,-0.7671311439106909,0.0879764069456179,4.293455642619126e-18,-0.019607513249539965,0.012710339353820849,0.12301091887967495,0.0015297022391785287,0.08787581387835158,0.016013104004924204
