model,coef,std_err,pvalue,n_obs,standardized,magnitude
FE,-0.027972993658411934,0.006736245737870123,3.372968152969786e-05,3390.0,-0.08183275843716728,moderate
OLS,-0.03003264844647955,0.0068672512810809775,1.2237432550015198e-05,3390.0,-0.08785811399238892,moderate
ElasticNet,-0.47666488603018964,,,,-1.3944450476167896,large
