model,coef,std_err,pvalue,n_obs,standardized,magnitude
FE,1.658494898999204,0.6780941334370445,0.014505934665765736,3390.0,0.2765808945773411,large
OLS,-0.7811827533478354,0.15581658176900612,5.345533021196165e-07,3390.0,-0.13027488048333055,moderate
ElasticNet,-0.6956130023089342,,,,-0.1160047381359642,moderate
