model,coef,std_err,pvalue,n_obs,standardized,magnitude
FE,3.5082166451640227,0.45452263295447703,1.5628615029366757e-14,3390.0,0.37639089796209096,large
OLS,0.6790422151109139,0.22216162239797957,0.0022391994245330366,3390.0,0.07285334258136006,moderate
ElasticNet,0.4068439118091507,,,,0.043649626230279875,small
