country,iso3,indicator_name,indicator_code,year,value
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,2000,
American Samoa,ASM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2000,
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
American Samoa,ASM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,
American Samoa,ASM,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,2000,49.25
American Samoa,ASM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2000,
American Samoa,ASM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,2000,
American Samoa,ASM,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,2000,
American Samoa,ASM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,
American Samoa,ASM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,
American Samoa,ASM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
American Samoa,ASM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,
American Samoa,ASM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2000,
American Samoa,ASM,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2000,
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,2000,
American Samoa,ASM,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2000,
American Samoa,ASM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2000,0.0001
American Samoa,ASM,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2000,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2000,1432606188.69324
Andorra,AND,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2000,77.8792564996033
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.52836236122388
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,21810.2487431414
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Andorra,AND,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,28.7415528975991
Andorra,AND,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,2000,
Andorra,AND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2000,
Andorra,AND,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,2000,
Andorra,AND,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,2000,
Andorra,AND,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,
Andorra,AND,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,
Andorra,AND,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Andorra,AND,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,
Andorra,AND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2000,
Andorra,AND,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2000,
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,2000,
Andorra,AND,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2000,
Andorra,AND,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2000,
Andorra,AND,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2000,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,2000,9129594970.15301
Angola,AGO,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2000,16.3176590936026
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.05462423430785
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,563.733795571487
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Angola,AGO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,418.018991534099
Angola,AGO,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,2000,
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2000,878620000.0
Angola,AGO,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,2000,
Angola,AGO,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,2000,
Angola,AGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,795650000.0
Angola,AGO,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,1198212373.02401
Angola,AGO,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,9763465564.4
Angola,AGO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,
Angola,AGO,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2000,
Angola,AGO,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2000,
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,2000,
Angola,AGO,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2000,0.169844720904419
Angola,AGO,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2000,16.5119
Angola,AGO,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2000,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,2000,901003703.703704
Antigua and Barbuda,ATG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2000,74.401399512495
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,6.20355212555867
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,12027.4949768222
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Antigua and Barbuda,ATG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,1.53551541337367
Antigua and Barbuda,ATG,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,2000,
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2000,96504370.1625511
Antigua and Barbuda,ATG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,2000,
Antigua and Barbuda,ATG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,2000,
Antigua and Barbuda,ATG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-71441645.9620411
Antigua and Barbuda,ATG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,63558884.5284907
Antigua and Barbuda,ATG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Antigua and Barbuda,ATG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,
Antigua and Barbuda,ATG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2000,
Antigua and Barbuda,ATG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2000,
Antigua and Barbuda,ATG,Trade (% of GDP),NE.TRD.GNFS.ZS,2000,
Antigua and Barbuda,ATG,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2000,0.0707484549834635
Antigua and Barbuda,ATG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2000,0.1354
Antigua and Barbuda,ATG,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2000,15.39
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,2000,284203750000.0
Argentina,ARG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2000,59.214529394292
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,-0.78899893905691
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,7637.01489203628
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,1.03728710073175
Argentina,ARG,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,2000,49.5
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2000,10418314339.1428
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,2000,17.5334874363903
Argentina,ARG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,2000,13.7841913064131
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-8980617892.62761
Argentina,ARG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,25152117244.4134
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,150062928187.3
Argentina,ARG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,
Argentina,ARG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2000,31223690400.0
Argentina,ARG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2000,33070146000.0
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,2000,22.6224447777343
Argentina,ARG,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2000,0.164936165306459
Argentina,ARG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2000,136.7616
Argentina,ARG,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2000,11.33
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,2000,1911563668.85006
Armenia,ARM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2000,58.3379783235321
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,5.90000000312092
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,593.450581742282
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Armenia,ARM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,-1.37367599828147
Armenia,ARM,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,2000,33.6
Armenia,ARM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2000,104188500.0
Armenia,ARM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,2000,21.92233140183
Armenia,ARM,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,2000,10.7986680994975
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-301667882.53552
Armenia,ARM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,314200332.802208
Armenia,ARM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,1018418173.9
Armenia,ARM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,
Armenia,ARM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2000,423629630.453398
Armenia,ARM,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2000,957156466.972861
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,2000,72.2333302273367
Armenia,ARM,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2000,0.241488529308382
Armenia,ARM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2000,3.5696
Armenia,ARM,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2000,
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2000,1873452513.96648
Aruba,ABW,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2000,76.0554028642542
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,7.62292064930222
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,20681.0230269625
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,1.03610080269524
Aruba,ABW,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,2000,59.1
Aruba,ABW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2000,-127932960.893854
Aruba,ABW,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,2000,25.4941135775374
Aruba,ABW,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,2000,21.4195402984363
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,207145251.396648
Aruba,ABW,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,235455000.0
Aruba,ABW,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Aruba,ABW,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,
Aruba,ABW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2000,1393586592.17877
Aruba,ABW,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2000,1324284916.20112
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,2000,145.072879516204
Aruba,ABW,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2000,0.0755532040153876
