column,n_nonnull,median,max,max_over_median
gdp_usd,6413,40773241177.0505,111252997846886.0,2728.5787108213885
exports_usd,5522,23225315064.0411,32304283037107.5,1390.9082803842361
imports_usd,5573,24171830985.9155,31322773700300.8,1295.8378584788231
fdi_inflow_usd,6076,1408730270.1930652,3114606227901.27,2210.9315699409344
total_reserves_usd,4314,4078077664.54346,3900039302991.09,956.3425770185028
current_account_balance_usd,4400,-210522808.948393,443374257116.43,-2106.0628030339344
external_debt_usd,3106,7664727596.1,8836011577015.8,1152.8148216920035
