feature,mean_delta_mse,std,n,se,ci_low,ci_high,p_emp_le_zero
gov_index_zmean,0.9361654109516585,0.3354255557631016,2500,0.006708511115262033,0.923016729165745,0.9493140927375721,0.0012
inflation_consumer_prices_pct,0.41087714441249357,0.40446783214232745,2500,0.00808935664284655,0.3950220053925143,0.4267322834324728,0.0732
trade_exposure,0.31648148168758033,0.20162764247937778,2500,0.004032552849587556,0.30857767810238873,0.32438528527277194,0.0676
