pos_index,row_label,cooks_d,leverage,studentized_resid
3387,6935,0.15907729908022442,0.3662018015250577,1.049420060790891
1799,3456,0.06507051625425754,0.0012000966381675296,14.718151130550305
2837,5647,0.04908673822852813,0.0025327645056374606,-8.793545129795632
2726,5398,0.037319827863566316,0.14868322261282008,0.9245159859498002
1777,3410,0.03211910855090945,0.007554475188735912,-4.108307350112258
1955,3832,0.02864214196679508,0.0006957250739987573,12.82811329868548
1267,2487,0.024775100400061943,0.0008502354352666604,10.791539429310196
1798,3455,0.023735823079538615,0.001011484305880646,-9.683510264589508
1807,3464,0.018108545761649362,0.0019401125690585415,-6.104310542264898
466,921,0.017498502545742735,0.0013303280438678562,-7.24873120436081
2970,5930,0.016584834655273228,0.0023576445293821903,-5.298267063633718
1952,3829,0.015292814354731158,0.0005825826491278772,-10.243972119876204
2969,5929,0.01445479532360903,0.0020560651660734125,-5.297495577090671
1808,3465,0.013191913034933129,0.003122985901048207,4.104116354205663
1804,3461,0.011771463062819074,0.001799375905534534,5.1108506003363265
1265,2485,0.011696911610389799,0.0008988814003834131,7.21139235684342
1801,3458,0.010125988350494447,0.0016492982527841237,-4.95154433174036
1778,3411,0.00988937928182257,0.026345171288126478,-1.2091119407435247
31,73,0.007735435037129144,0.0015275665009225454,-4.49718075905888
1433,2894,0.007404790436307141,0.002025754782100483,3.819905438015581
1829,3491,0.0071119639151216146,0.001234058465717718,-4.798315077617835
2717,5389,0.006738319337570188,0.0020497469008700807,-3.6225143723617093
1268,2488,0.006590207879032162,0.0008730763406371091,5.492420431151008
2037,3973,0.006359355991476601,0.0007066284713146508,5.997738153158797
1800,3457,0.006317688025604535,0.0015363924316996588,-4.052510271049054
173,401,0.006281908040682702,0.0008547996206685299,5.419483842255853
2754,5441,0.0060939769862782345,0.007086795437509514,1.848038843328972
3178,6490,0.006080342260826112,0.0007334729057864162,-5.756289674175102
1283,2537,0.006054181250164358,0.006230140227030887,-1.9654034068819561
3386,6934,0.005974571269605391,0.07397455647769456,-0.5469575776479735
2840,5650,0.0058630193064017925,0.003691957699014174,-2.51570155146983
2036,3972,0.005821930998214839,0.0005391653345336657,-6.570303510603277
19,61,0.0051111438682371665,0.0022461329523583463,3.013582107456898
1806,3463,0.004661092496214591,0.002215040988883253,-2.8980204729140464
2866,5759,0.004591895777703067,0.0017730916568984962,-3.2156964779756985
1285,2539,0.0044589646631777715,0.007897390878399435,-1.4968679511357832
2817,5560,0.004408958123859968,0.0058544735287167195,1.7305296337485627
3388,6936,0.004337023103220955,0.010290975890790522,1.291669331693689
1809,3466,0.004203223541420766,0.00287617419667603,-2.41428309563188
1936,3813,0.00407103838224894,0.0009131047509532513,4.2210833140601665
